"ID";"IDIOMA";"REFRAN"
835;"FRANCES";"On ne prête qu’aux riches."
836;"FRANCES";"On ne sait pas pour qui on amasse."
837;"FRANCES";"On ne saurait faire boire un âne s’il n’a pas soif."
838;"FRANCES";"On ne saurait faire d’une buse un épervier."
839;"FRANCES";"On ne saurait tirer de l’huile d’un mur."
840;"FRANCES";"On n’est jamais crotté que par la boue."
841;"FRANCES";"On n’est jamais si riche que quand on déménage."
842;"FRANCES";"On ne va jamais si loin que lorsqu’on ne sait pas où l’on va."
843;"FRANCES";"On pêche bien en eau troublé."
844;"FRANCES";"On peut payer l’or trop cher."
845;"FRANCES";"On prend plus de mouches avec du miel qu’avec du vinaigre."
846;"FRANCES";"On prend son bien où on le trouve."
847;"FRANCES";"On revient toujours à ses premières amours."
848;"FRANCES";"On se heurte toujours où l’on a mal."
849;"FRANCES";"On se soûle bien de manger tartes."
850;"FRANCES";"On touche toujours sur le cheval qui tire."
851;"FRANCES";"On trouve remède à tout fors à la mort."
852;"FRANCES";"On va bien loin depuis qu’on est las."
853;"FRANCES";"On voit plus de vieux ivrognes que de vieux médecins."
854;"FRANCES";"Or est qui or vaut."
855;"FRANCES";"Ote-toi de là que je m’y mette."
856;"FRANCES";"Où il est faible le fil se rompt."
857;"FRANCES";"Où il n’y a point de mal il ne faut point d’emplâtre."
858;"FRANCES";"Où il n’y a rien le roi perd ses droits."
859;"FRANCES";"Où la chèvre est attachée il faut qu’elle broute."
860;"FRANCES";"Où la guêpe a passé le moucheron demeure."
861;"FRANCES";"Où la haie est plus basse on saute dessus."
862;"FRANCES";"Où l’hôtesse est belle le vin est bon."
863;"FRANCES";"Oy, voy, et te tay, si veux vivre en paix."
864;"FRANCES";"Pain dérobé réveille l’appétit."
865;"FRANCES";"Pain tant qu’il dure, vin à mesure."
866;"FRANCES";"Parens sans amis, amis sans pouvoir, pouvoir sans vouloir, vouloir sans effet, effet sans profit, profit sans vertu, ne vaut un fétu."
867;"FRANCES";"Paris n’a pas été fait en un jour."
868;"FRANCES";"Parole jetée va partout à la volée."
869;"FRANCES";"Partage de Montgomery: tout d’un côté, rien de l’autre."
870;"FRANCES";"Par trop débattre la vérité se perd."
871;"FRANCES";"Par trop presser l’anguille on la perd."
872;"FRANCES";"Pas à pas on va bien loin."
873;"FRANCES";"Passez-moi la rhubarbe je vous passerai le séné."
874;"FRANCES";"Pauvreté est une espèce de ladrerie."
875;"FRANCES";"Pauvreté n’est pas vice."
876;"FRANCES";"Péché caché est à demi pardonné."
877;"FRANCES";"Pendant que les chiens s’entre-grondent le loup dévore la brebis."
878;"FRANCES";"Pense moult, parle peu, écris moins."
879;"FRANCES";"Petit à petit l’oiseau fait son nid."
880;"FRANCES";"Petit chaudron, grandes oreilles."
881;"FRANCES";"Petit dîner longuement attendu, n’est pas donné, mais chèrement vendu."
882;"FRANCES";"Petite brebiette toujours semble jeunette."
883;"FRANCES";"Petite chose aide souvent."
884;"FRANCES";"Petite étincelle luit en ténèbres."
885;"FRANCES";"Petite pluie abat grand vent."
886;"FRANCES";"Petit homme abat grand chêne."
887;"FRANCES";"Peu de levain aigrit grand’pâte."
888;"FRANCES";"Pierre qui roule n’amasse point de mousse."
889;"FRANCES";"Plumer l’oie sans la faire crier."
890;"FRANCES";"Plus fait douceur que violence."
891;"FRANCES";"Plus le singe s’élève plus il montre son cul pelé."
892;"FRANCES";"Plus on est de fous, plus on rit."
893;"FRANCES";"Plus on remue la merde et plus elle pue."
894;"FRANCES";"Plus on se découvre, plus on a froid."
895;"FRANCES";"Plus on se hâte moins on avance."
896;"FRANCES";"Point d’argent, point de Suisse."
897;"FRANCES";"Point de nouvelles bonnes nouvelles."
898;"FRANCES";"Point de roses sans épines."
899;"FRANCES";"Porte fermée, le diable s’en va."
900;"FRANCES";"Porter de l’eau à la rivière."
901;"FRANCES";"Porter lanterne à midi."
902;"FRANCES";"Possession vaut titre."
903;"FRANCES";"Pour bien connaître un homme il faut avoir mangé un boisseau de sel avec lui."
904;"FRANCES";"Pour de l’argent les chiens dansent."
905;"FRANCES";"Pour faire un bon ménage, il faut que l’homme soit sourd et la femme aveugle."
906;"FRANCES";"Pour l’amour du chevalier baise la dame l’écuyer."
907;"FRANCES";"Pour néant demande conseil qui ne le veut croire."
908;"FRANCES";"Pour un moine l’abbaye ne faut point."
909;"FRANCES";"Pour un plaisir mille douleurs."
910;"FRANCES";"Prendre l’occasion aux cheveux."
911;"FRANCES";"Prends le premier conseil d’une femme et non le second."
912;"FRANCES";"Près de l’église et loin de Dieu."
913;"FRANCES";"Près du moustier à messe le dernier."
914;"FRANCES";"Promettre et tenir sont deux."
915;"FRANCES";"Promettre plus de beurre que de pain."
916;"FRANCES";"Puisque le vin est tiré il faut le boire."
917;"FRANCES";"Quand Dieu envoie la farine le diable enlève le sac."
918;"FRANCES";"Quand il n’y a point de vent chacun sait naviguer."
919;"FRANCES";"Quand la cage est faite l’oiseau s’envole."
920;"FRANCES";"Quand la fille est mariée il arrive assez de gendres."
921;"FRANCES";"Quand la porte est basse il faut se baisser."
922;"FRANCES";"Quand l’arbre est tombé tout le monde court aux branches."
923;"FRANCES";"Quand l’aveugle porte la bannière, mal pour ceux qui marchent derrière."
924;"FRANCES";"Quand le chien se noye chacun lui porte de l’eau."
925;"FRANCES";"Quand le diable devient vieux il se fait ermite."
926;"FRANCES";"Quand le diable dit ses patenôtres il veut te tromper."
927;"FRANCES";"Quand le Français dort le diable le berce."
928;"FRANCES";"Quand les biens viennent les corps faillent."
929;"FRANCES";"Quand les paroles sont dites l’eau bénite est faite."
930;"FRANCES";"Quand on a des filles on est toujours berger."
931;"FRANCES";"Quand on est bien il faut s’y tenir."
932;"FRANCES";"Quand on est mort, c’est pour longtemps."
933;"FRANCES";"Quand on n’a pas ce que l’on aime, il faut aimer ce que l’on a."
934;"FRANCES";"Quand on parle du loup, on en voit la queue."
935;"FRANCES";"Quand tous péchés sont vieux l’avarice est encore jeune."
936;"FRANCES";"Quand vient la gloire s’en va la mémoire."
937;"FRANCES";"Que ta chemise ne sache ta guise."
938;"FRANCES";"Qui a bonne tête ne manque pas de chapeaux."
939;"FRANCES";"Qui a bu boira."
940;"FRANCES";"Qui a compagnon a maître."
941;"FRANCES";"Qui a de l’argent a des pirouettes."
942;"FRANCES";"Qui a froid souffle le feu."
943;"FRANCES";"Qui a honte de manger a honte de vivre."
944;"FRANCES";"Qui aime Bertrand aime son chien."
945;"FRANCES";"Qui aime bien châtie bien."
946;"FRANCES";"Qui aime bien tard oublie."
947;"FRANCES";"Qui a la bourse pleine prêche au pauvre."
948;"FRANCES";"Qui a tête de cire ne doit pas s’approcher du feu."
949;"FRANCES";"Qui attend les souliers d’un mort risque d’aller pieds nus."
950;"FRANCES";"Qui cache peut trouver."
951;"FRANCES";"Qui casse les verres les paye."
952;"FRANCES";"Qui cesse d’être ami ne l’a jamais été."
953;"FRANCES";"Qui chapon mange chapon lui vient."
954;"FRANCES";"Qui choisit, prend le pire."
955;"FRANCES";"Qui compte sans son hôte, compte deux fois."
956;"FRANCES";"Qui court deux lièvres, n’en prendra aucun."
957;"FRANCES";"Qui crache contre le ciel, il lui tombe sur la tête."
958;"FRANCES";"Qui craint de souffrir, souffre de crainte."
959;"FRANCES";"Qui cuir voit tailler, courroye en demande."
960;"FRANCES";"Qui dit averti, dit muni."
961;"FRANCES";"Qui donner peut, il a maint bon voisin."
962;"FRANCES";"Qui doute ne se trompe point."
963;"FRANCES";"Qui écoute aux portes, entend plus qu’il ne désire."
964;"FRANCES";"Qui en dit du mal, veut l’acheter."
965;"FRANCES";"Qui épargne, gagne."
966;"FRANCES";"Qui épargne le vice, fait tort à la vertu."
967;"FRANCES";"Qui est avec les loups, il lui faut hurler."
968;"FRANCES";"Qui est bien, qu’il s’y tienne."
969;"FRANCES";"Qui est sur la mer, il ne fait pas des vents ce qu’il veut."
970;"FRANCES";"Qui femme a, noise a."
971;"FRANCES";"Qui femme croit et âne mène, son corps ne sera jamais sans peine."
972;"FRANCES";"Qui gagne, joue bien."
973;"FRANCES";"Qui juge entre deux amis, perdra l’un ou l’autre."
974;"FRANCES";"Qui mal cherche, mal trouve."
975;"FRANCES";"Qui mange de l’oye du roi, chiera une plume quarante ans après."
976;"FRANCES";"Qui mange la vache du roi maigre, la paie grasse."
977;"FRANCES";"Qui menace, a peur."
978;"FRANCES";"Qui monte la mule, la ferre."
979;"FRANCES";"Qui mouche trop son nez, en tire du sang."
980;"FRANCES";"Qui naît le dimanche, jamais ne meurt de peste."
981;"FRANCES";"Qui n’amorce pas son haim, pèche en vain."
982;"FRANCES";"Qui n’a, ne peut."
983;"FRANCES";"Qui n’a pas argent en bourse, ait miel en bouche."
984;"FRANCES";"Qui naquit chat, court après les souris."
985;"FRANCES";"Qui n’a rien, ne craint rien."
986;"FRANCES";"Qui n’a santé, n’a rien."
987;"FRANCES";"Qui ne châtie culot, ne châtie culasse."
988;"FRANCES";"Qui ne dit mot, consent."
989;"FRANCES";"Qui ne fait pas quand il peut, il ne fait pas quand il veut."
990;"FRANCES";"Qui ne fait rien, fait mal."
991;"FRANCES";"Qui ne gagne, perd."
992;"FRANCES";"Qui ne hasarde rien, n’a rien."
993;"FRANCES";"Qui n’entend qu’une cloche, n’entend qu’un son."
994;"FRANCES";"Qui ne parle, n’erre."
995;"FRANCES";"Qui ne peut faire son salut par c”oe]ur, ne le fera par livre."
996;"FRANCES";"Qui ne peut mordre, ne doit pas montrer les dents."
997;"FRANCES";"Qui ne regarde pas en avant, se trouve en arrière."
998;"FRANCES";"Qui ne retire de sa vache que la queue, ne perd pas tout."
999;"FRANCES";"Qui ne sait bien parler de son métier, il ne le sait pas."
1000;"FRANCES";"Qui ne s’aventure, n’a ni cheval ni mule; et qui trop s’aventure, perd cheval et mule."
1001;"FRANCES";"Qui ne se lasse pas, lasse l’adversité."
1002;"FRANCES";"Qui ne sort que de jour, n’a que faire de lanterne."
1003;"FRANCES";"Qui ne souffre pas seul, ne souffre pas tant."
1004;"FRANCES";"Qui ne veut parler, ne veut gagner."
1005;"FRANCES";"Qui n’y va, n’y chet."
1006;"FRANCES";"Qui parle, sème; qui écoute, recueille."
1007;"FRANCES";"Qui partout va, partout prend."
1008;"FRANCES";"Qui passe un jour d’hiver, il passe un de ses ennemis mortels."
1009;"FRANCES";"Qui paye, a bien le droit de donner son avis."
1010;"FRANCES";"Qui paye bien, est bien servi."
1011;"FRANCES";"Qui paye tôt, emprunte quand il veut."
1012;"FRANCES";"Qui perd, pèche."
1013;"FRANCES";"Qui peut lécher, peut mordre."
1014;"FRANCES";"Qui plus qu’il n’a vaillant dépend, il fait la corde à quoi se pend."
1015;"FRANCES";"Qui plus sait, plus se tait."
1016;"FRANCES";"Qui porte un fardeau, en portera bientôt cent."
1017;"FRANCES";"Qui pourrait vivre sans espoir?"
1018;"FRANCES";"Qui prend femme, prend maître."
1019;"FRANCES";"Qui prend une femme pour sa dot, à la liberté tourne le dos."
1020;"FRANCES";"Qui prête à l’ami, perd au double."
1021;"FRANCES";"Qui prouve trop, ne prouve rien."
1022;"FRANCES";"Qui quitte sa place, la perd."
1023;"FRANCES";"Qui refuse, muse."
1024;"FRANCES";"Qui répond, paye."
1025;"FRANCES";"Qui reste dans la vallée ne passera jamais la montagne."
1026;"FRANCES";"Qui rien ne porte, rien ne lui chet."
1027;"FRANCES";"Qui s’acquitte, s’enrichit."
1028;"FRANCES";"Qui s’arrête à chaque pierre, n’arrive jamais."
1029;"FRANCES";"Qui s’attend à l’écuelle d’autrui, dîne souvent par c”oe]ur."
1030;"FRANCES";"Qui saurait les aventures, ne serait jamais pauvre."
1031;"FRANCES";"Qui se couche avec des chiens, se lève avec des puces."
1032;"FRANCES";"Qui se détourne, évite le danger."
1033;"FRANCES";"Qui se fâche, a tort."
1034;"FRANCES";"Qui se fait brebis, le loup le mange."
1035;"FRANCES";"Qui se marie à la hâte, se repent à loisir."
1036;"FRANCES";"Qui se marie par amours, a bonnes nuits et mauvais jours."
1037;"FRANCES";"Qui sème des chardons, recueille des épines."
1038;"FRANCES";"Qui sème épines, n’aille déchaux."
1039;"FRANCES";"Qui sème, recueille."
1040;"FRANCES";"Qui se remue, Dieu l’adjue."
1041;"FRANCES";"Qui se ressemble s’assemble."
1042;"FRANCES";"Qui sert commun, nul ne le paye, et s’il défaut, chacun l’abbaye."
1043;"FRANCES";"Qui se sent galeux, se gratte."
1044;"FRANCES";"Qui se sent morveux, se mouche."
1045;"FRANCES";"Qui se tient à Paris, ne sera jamais pape."
1046;"FRANCES";"Qui s’excuse, s’accuse."
1047;"FRANCES";"Qui s’y frotte, s’y pique."
1048;"FRANCES";"Qui terre a, guerre a."
1049;"FRANCES";"Qui tient la poële par la queue, il la tourne là où il veut."
1050;"FRANCES";"Qui tient le fil, tient le peloton."
1051;"FRANCES";"Qui tôt donne, deux fois donne."
1052;"FRANCES";"Qui tourmente les autres, ne dort pas bien."
1053;"FRANCES";"Qui trébuche et ne tombe pas, avance son chemin."
1054;"FRANCES";"Qui trop change, empire."
1055;"FRANCES";"Qui trop embrasse, mal étreint."
1056;"FRANCES";"Qui trop se hâte en cheminant, en beau chemin se fourvoye souvent."
1057;"FRANCES";"Qui un punit, cent menace."
1058;"FRANCES";"Qui va chercher de la laine, revient tondu."
1059;"FRANCES";"Qui va et retourne, fait bon voyage."
1060;"FRANCES";"Qui va, il lèche; qui repose, il sèche."
1061;"FRANCES";"Qui veut apprendre à prier, aille souvent sur la mer."
1062;"FRANCES";"Qui veut être riche en un an, au bout de six mois est pendu."
1063;"FRANCES";"Qui veut faire une porte d’or, il y met tous les jours un clou."
1064;"FRANCES";"Qui veut noyer son chien, l’accuse de rage."
1065;"FRANCES";"Qui veut plaire à tout le monde, doit se lever de bonne heure."
1066;"FRANCES";"Qui veut prendre un oiseau, qu’il ne l’effarouche."
1067;"FRANCES";"Qui veut tenir nette maison, il n’y faut prêtre ni pigeon."
1068;"FRANCES";"Qui veut vivre à Rome, ne doit pas se quereller avec le pape."
1069;"FRANCES";"Qui veut voyager loin, ménage sa monture."
1070;"FRANCES";"Qui vient, est beau; qui apporte, est encore plus beau."
1071;"FRANCES";"Qui vit à compte, vit à honte."
1072;"FRANCES";"Qui vit longtemps, sait ce qu’est douleur."
1073;"FRANCES";"Qui vivra, verra."
1074;"FRANCES";"Qui voit une épingle et ne la prend, vient un temps qu’il s’en repent."
1075;"FRANCES";"Quoique fol tarde, jour ne tarde."
1076;"FRANCES";"Raison contre le fort est un trepiteux port."
1077;"FRANCES";"Renard qui dort la matinée, n’a pas la langue emplumée."
1078;"FRANCES";"Rendre à quelqu’un la monnaie de sa pièce."
1079;"FRANCES";"Rendre pois pour fève."
1080;"FRANCES";"Rien n’a qui assez n’a."
1081;"FRANCES";"Rien n’arrive pour rien."
1082;"FRANCES";"Rien ne pèse tant qu’un secret."
1083;"FRANCES";"Rien ne ressemble plus à un honnête homme qu’un fripon."
1084;"FRANCES";"Rien ne se donne si libéralement que les conseils."
1085;"FRANCES";"Rien n’est bon comme le fruit défendu."
1086;"FRANCES";"Rien ne vaut poulain s’il ne rompt son lien."
1087;"FRANCES";"Rien ne vieillit plus vite qu’un bienfait."
1088;"FRANCES";"Rira bien qui rira le dernier."
1089;"FRANCES";"Rome n’a pas été faite en un jour."
1090;"FRANCES";"Saint ne peut, si Dieu ne veut."
1091;"FRANCES";"Saint qui ne guérit de rien, n’a guère de pélerins."
1092;"FRANCES";"Sans pain, sans vin, amour n’est rien."
1093;"FRANCES";"Sauter de la poële sur la braise."
1094;"FRANCES";"Secret de deux, secret de Dieu; secret de trois, secret de tous."
1095;"FRANCES";"Se faire d’évêque meunier."
1096;"FRANCES";"Se faire marchand de poissons la veille de Pâques."
1097;"FRANCES";"Se jeter dans l’eau de peur de la pluie."
1098;"FRANCES";"Selon le bras la saignée."
1099;"FRANCES";"Selon le saint l’encens."
1100;"FRANCES";"Selon le vent la voile."
1101;"FRANCES";"Service de grands n’est pas héritage."
1102;"FRANCES";"Si ce n’était le si et mais, nous serions tous riches à jamais."
1103;"FRANCES";"Si c’était un loup, il vous sauterait au cou."
1104;"FRANCES";"Si enfer n’est plein, jamais n’y aura d’avocat sauvé."
1105;"FRANCES";"Signer pour les deux parties."
1106;"FRANCES";"Si jeunesse savait! si vieillesse pouvait!"
1107;"FRANCES";"Si le ciel tombait il y aurait bien des alouettes prises."
1108;"FRANCES";"Si le diable sortait de l’enfer pour combattre, il se présenterait aussitôt un Français pour accepter le défi."
1109;"FRANCES";"S’il est vrai, il peut être."
1110;"FRANCES";"S’il fait beau, prends ton manteau; s’il pleut, prends-le si tu veux."
1111;"FRANCES";"S’il ne tient qu’à jurer, la vache est à nous."
1112;"FRANCES";"Si nous payons la musique, nous voulons aussi danser."
1113;"FRANCES";"Si souhaits fussent vrais, pastoureaux rois seraient."
1114;"FRANCES";"Si tu ne le peux dire, si le monstre au doigt."
1115;"FRANCES";"Si vous lui donnez un pied, il vous en prendra quatre."
1116;"FRANCES";"Six choses au monde n’ont mestier: prestre hardy, coüard chevalier, juge convoiteux, puant barbier, mère piteuse, rogneux boulengier."
1117;"FRANCES";"Sois vraiment ce que tu veux qu’on te croie."
1118;"FRANCES";"Soleil qui luisarne au matin, femme qui parle latin, enfant nourri de vin, ne viennent point à bonne fin."
1119;"FRANCES";"Son cheval a la tête trop grosse, il ne peut sortir de l’écurie."
1120;"FRANCES";"Songes sont mensonges."
1121;"FRANCES";"Soubs ombre d’asne entre chien en moulin."
1122;"FRANCES";"Souffler le chaud et le froid."
1123;"FRANCES";"Soupçon est d’amitié poison."
1124;"FRANCES";"Souris qui n’a qu’un trou est bientôt prise."
1125;"FRANCES";"Souvent les railleurs sont raillés."
1126;"FRANCES";"Suivez la rivière et vous gagnerez la mer."
1127;"FRANCES";"Surement va qui n’a rien."
1128;"FRANCES";"Sur un ”oe]uf pond la poule un ”oe]uf."
1129;"FRANCES";"Tant doit-on le chien blandir qu’on ait la voie passée."
1130;"FRANCES";"Tant va la cruche à l’eau qu’à la fin elle se brise."
1131;"FRANCES";"Tant vaut l’homme, tant vaut sa terre."
1132;"FRANCES";"Tard donner, c’est refuser."
1133;"FRANCES";"Tel a beaux yeux qui n’y voit goutte."
1134;"FRANCES";"Tel a du pain qui n’a plus de dents."
1135;"FRANCES";"Tel croit se chauffer qui se brûle."
1136;"FRANCES";"Tel cuide avoir fait qui commence."
1137;"FRANCES";"Tel cuide venger sa honte qui l’accroît."
1138;"FRANCES";"Tel en pâtit qui n’en peut mais."
1139;"FRANCES";"Tel maître, tel valet."
1140;"FRANCES";"Tel menace, qui a peur."
1141;"FRANCES";"Tel menace, qui est battu."
1142;"FRANCES";"Tel qui rit vendredi, dimanche pleurera."
1143;"FRANCES";"Tel vend, qui ne livre pas."
1144;"FRANCES";"Temps, vent, femme, et fortune, changent comme la lune."
1145;"FRANCES";"Tendresse maternelle toujours se renouvelle."
1146;"FRANCES";"Tenir le loup par les oreilles."
1147;"FRANCES";"Tête de fou ne blanchit jamais."
1148;"FRANCES";"Tirer le diable par la queue, ne mène loin jeunes ni vieux."
1149;"FRANCES";"Tirer les marrons du feu avec la patte du chat."
1150;"FRANCES";"Tôt gagné, tôt gaspillé."
1151;"FRANCES";"Toujours amoureux, jamais marié."
1152;"FRANCES";"Toujours ne frappe-t-on pas ce à quoy l’on vise."
1153;"FRANCES";"Toujours pêche qui en prend un."
1154;"FRANCES";"Toujours truye songe bran."
1155;"FRANCES";"Tout bec crochu de proye est soustenu."
1156;"FRANCES";"Tout bois n’est pas bon à faire flèche."
1157;"FRANCES";"Tout ce qui branle ne tombe pas."
1158;"FRANCES";"Tout ce qui reluit n’est pas or."
1159;"FRANCES";"Tout chemin mène à Rome."
1160;"FRANCES";"Toute chair n’est pas venaison."
1161;"FRANCES";"Toute chose qui est bonne à prendre est bonne à rendre."
1162;"FRANCES";"Toute comparaison est odieuse."
1163;"FRANCES";"Toute eau éteint feu."
1164;"FRANCES";"Toutes les clefs ne pendent pas à une ceinture."
1165;"FRANCES";"Toutes têtes ne sont pas coffres à raison."
1166;"FRANCES";"Toutes vérités ne sont pas bonnes à dire."
1167;"FRANCES";"Tout état, et rien au plat."
1168;"FRANCES";"Tout fait ventre, pourvu qu’il entre."
1169;"FRANCES";"Tout le monde est sage après l’événement."
1170;"FRANCES";"Tout paraît jaune à qui a la jaunisse."
1171;"FRANCES";"Tout passe, tout casse, tout lasse."
1172;"FRANCES";"Tout va à qui n’a pas besoin."
1173;"FRANCES";"Tout vient à point à qui sait attendre."
1174;"FRANCES";"Tout y va par compère et commère."
1175;"FRANCES";"Tricherie revient à son maître."
1176;"FRANCES";"Triste est la maison où le coq se tait et la poule chante."
1177;"FRANCES";"Trois déménagements valent un incendie."
1178;"FRANCES";"Trois frères, trois châteaux."
1179;"FRANCES";"Trop achète le miel qui le lèche sur les épines."
1180;"FRANCES";"Trop de zèle gâte tout."
1181;"FRANCES";"Trop gratter cuit, trop parler nuit."
1182;"FRANCES";"Trop tard crie l’oiseau quand il est pris."
1183;"FRANCES";"Trop tranchant ne coupe pas, trop pointu ne perce pas."
1184;"FRANCES";"Truie aime mieux bran que roses."
1185;"FRANCES";"Tuer la poule pour avoir l’”oe]uf."
1186;"FRANCES";"Tuer un mercier pour un peigne."
1187;"FRANCES";"Un ami de table et de vin, tenir ne faut pour bon voisin."
1188;"FRANCES";"Un âne ne trébuche pas deux fois sur la même pierre."
1189;"FRANCES";"Un apothicaire ne doit être longtemps cocu."
1190;"FRANCES";"Un aveugle mène l’autre en la fosse."
1191;"FRANCES";"Un barbier en rase un autre."
1192;"FRANCES";"Un bienfait reproché tint toujours lieu d’offense."
1193;"FRANCES";"Un boiteux ne veut aller avec un plus boiteux que lui."
1194;"FRANCES";"Un bon avis vaut un ”oe]il dans la main."
1195;"FRANCES";"Un bon bailleur en fait bailler deux."
1196;"FRANCES";"Un bon renard ne mange pas les poules de son voisin."
1197;"FRANCES";"Un bon repas doit commencer par la faim."
1198;"FRANCES";"Un brochet fait plus qu’une lettre de recommandation."
1199;"FRANCES";"Un cerveau ne vaut guère sans langue."
1200;"FRANCES";"Un chien regarde bien un évêque."
1201;"FRANCES";"Un clou chasse l’autre."
1202;"FRANCES";"Un coup de langue est pire qu’un coup de lance."
1203;"FRANCES";"Un courtisan doit être sans humeur et sans honneur."
1204;"FRANCES";"Une chandelle à Saint Michel et une à son diable."
1205;"FRANCES";"Une conscience pure est un bon oreiller."
1206;"FRANCES";"Une faute niée est deux fois commise."
1207;"FRANCES";"Une femme ne cèle que ce qu’elle ne sait pas."
1208;"FRANCES";"Une fleur ne fait pas une guirlande."
1209;"FRANCES";"Une fois n’est pas coutume."
1210;"FRANCES";"Une hirondelle ne fait pas le printemps."
1211;"FRANCES";"Une once de faveur vaut mieux qu’une livre de justice."
1212;"FRANCES";"Une poule aveugle peut quelquefois trouver son grain."
1213;"FRANCES";"Une science requiert tout son homme."
1214;"FRANCES";"Une tromperie en attire une autre."
1215;"FRANCES";"Un fou avise bien un sage."
1216;"FRANCES";"Un fou fait toujours commencement."
1217;"FRANCES";"Un homme averti en vaut deux."
1218;"FRANCES";"Un homme bien monté est toujours orgueilleux."
1219;"FRANCES";"Un homme de paille vaut une femme d’or."
1220;"FRANCES";"Un homme mort n’a ni parents ni amis."
1221;"FRANCES";"Un homme, nul homme."
1222;"FRANCES";"Un homme qui se noie s’attache à un brin d’herbe."
1223;"FRANCES";"Un homme riche n’est jamais laid pour une fille."
1224;"FRANCES";"Un jour en vaut deux pour qui fait chaque chose en son lieu."
1225;"FRANCES";"Un malheur ne vient jamais seul."
1226;"FRANCES";"Un marteau d’argent rompt une porte de fer."
1227;"FRANCES";"Un mauvais accommodement vaut mieux qu’un bon procès."
1228;"FRANCES";"Un moineau dans la main vaut mieux qu’une grue qui vole."
1229;"FRANCES";"Un noble prince ou roy n’a jamais pille ne croix."
1230;"FRANCES";"Un petit homme projette parfois une grande ombre."
1231;"FRANCES";"Un peu d’absence fait grand bien."
1232;"FRANCES";"Un peu d’aide fait grand bien."
1233;"FRANCES";"Un peu de fiel gâte beaucoup de miel."
1234;"FRANCES";"Un seigneur de paille mange un vassal d’acier."
1235;"FRANCES";"Un seul homme ne peut suffire à tout."
1236;"FRANCES";"Un sot trouve toujours un plus sot qui l’admire."
1237;"FRANCES";"Un tiens vaut mieux que deux tu l’auras."
1238;"FRANCES";"Un ver se recoquille quand on marche dessus."
1239;"FRANCES";"Un vieux four est plus aisé à chauffer qu’un neuf."
1240;"FRANCES";"Vache de loin a lait assez."
1241;"FRANCES";"Vache ne sait ce que vaut sa queue jusqu’à ce qu’elle l’ait perdue."
1242;"FRANCES";"Valet devant, maître derrière, en pont, en planche, en rivière."
1243;"FRANCES";"Vent au visage rend un homme sage."
1244;"FRANCES";"Ventre affamé n’a point d’oreilles."
1245;"FRANCES";"Ventre plein conseille bien."
1246;"FRANCES";"Veux-tu meilleur pain que de froment?"
1247;"FRANCES";"Viande d’ami est bientôt prête."
1248;"FRANCES";"Vides chambres font femmes folles."
1249;"FRANCES";"Vie de pourceau, courte et bonne."
1250;"FRANCES";"Vieilles amours et vieux tisons s’allument en toutes saisons."
1251;"FRANCES";"Vieux amis et comptes nouveaux."
1252;"FRANCES";"Vieux b”oe]uf fait sillon droit."
1253;"FRANCES";"Vieux chien n’aboie pas en vain."
1254;"FRANCES";"Vilain affamé, demi enragé."
1255;"FRANCES";"Vilain enrichi ne connaît parent ni ami."
1256;"FRANCES";"Vilain ne sçait qu’esperon vaut."
1257;"FRANCES";"Vin versé n’est pas avalé."
1258;"FRANCES";"Vivre au jour la journée."
1259;"FRANCES";"Voix du peuple, voix de Dieu."
1260;"FRANCES";"Voler un voleur n’est pas voler."
1261;"FRANCES";"Vouloir, c’est pouvoir."
1262;"FRANCES";"Vraie noblesse nul ne blesse."
1263;"ITALIANO";"Abbiamo pur fiorini che troveremo cugini."
1264;"ITALIANO";"Abbi piuttosto il piccolo per amico, che il grande per nemico."
1265;"ITALIANO";"Abbondanza genera fastidio."
1266;"ITALIANO";"A bisogni si conoscon gli amici."
1267;"ITALIANO";"A buon cavaliere non manca lancia."
1268;"ITALIANO";"A buon cavallo non manca sella."
1269;"ITALIANO";"A buon cavallo non occorre dirgli trotta."
1270;"ITALIANO";"A buon intenditor poche parole."
1271;"ITALIANO";"A buon vino non bisogna frasca."
1272;"ITALIANO";"A cader va chi troppo in alto sale."
1273;"ITALIANO";"A can che fugge, dagli, dagli."
1274;"ITALIANO";"A can che lecchi cenere, non gli fidar farina."
1275;"ITALIANO";"A cane scottato l’acqua fredda pare calda."
1276;"ITALIANO";"A cattiva vacca Dio dà corte corna."
1277;"ITALIANO";"A cattivo cane corto legame."
1278;"ITALIANO";"A causa perduta, parole assai."
1279;"ITALIANO";"A caval donato, non guardar in bocca."
1280;"ITALIANO";"A caval donato, non si mira il pelo."
1281;"ITALIANO";"A cavalli tristi o buoni, sempre porta i tuoi sproni."
1282;"ITALIANO";"A caval magro vanno le mosche."
1283;"ITALIANO";"A cavar di casa un morto, ci voglion quattro vivi."
1284;"ITALIANO";"Accasca in un punto quel che non accasca in cento anni."
1285;"ITALIANO";"Accenna al savio e lascia far a lui."
1286;"ITALIANO";"Accordatevi, dice Arlotto, ed io farò piovere."
1287;"ITALIANO";"Accosta più la camicia che il giubbone."
1288;"ITALIANO";"Accostati a’ buoni e sarai uno di essi."
1289;"ITALIANO";"A chi compra non bastan cent’occhi, e à chi vende ne basta un solo."
1290;"ITALIANO";"A chi dici il tuo secreto, doni la tua libertà."
1291;"ITALIANO";"A chi fa male, mai mancano scuse."
1292;"ITALIANO";"A chi fugge, ogni cosa dà impaccio."
