"ID";"IDIOMA";"REFRAN"
120;"FRANCES";"Au pays des aveugles les borgnes sont rois."
121;"FRANCES";"Au petit pourceau Dieu donne bonne racine."
122;"FRANCES";"A un pauvre homme sa vache meurt et au riche son enfant."
123;"FRANCES";"Au plus débile la chandelle à la main."
124;"FRANCES";"Au premier coup ne chet pas l’arbre."
125;"FRANCES";"Au prêter ange, au rendre diable."
126;"FRANCES";"Au prêter cousin germain, au rendre fils de putain."
127;"FRANCES";"Aussi tôt meurt veau que vache."
128;"FRANCES";"Autant chemine un homme en un jour qu’un limaçon en cent ans."
129;"FRANCES";"Autant dépend chiche que large, et à la fin plus davantage."
130;"FRANCES";"Autant de têtes, autant d’avis."
131;"FRANCES";"Autant de trous, autant de chevilles."
132;"FRANCES";"Autant pèche celui qui tient le sac que celui qui met dedans."
133;"FRANCES";"Autant vaut bien battre que mal battre."
134;"FRANCES";"Autant vaut bien battu que mal battu."
135;"FRANCES";"Autant vaut être mordu d’un chien que d’une chienne."
136;"FRANCES";"Autant vaut l’homme comme il s’estime."
137;"FRANCES";"Autre temps, autres m”oe]urs."
138;"FRANCES";"Aux grands maux les grands remèdes."
139;"FRANCES";"A vaillant homme courte épée."
140;"FRANCES";"Avec du temps et de la paille les nèfles mûrissent."
141;"FRANCES";"Avec un Si on mettrait Paris dans une bouteille."
142;"FRANCES";"A vieille mule frein doré."
143;"FRANCES";"A vieux comptes nouvelles disputes."
144;"FRANCES";"Avoir des amis en paradis et en enfer."
145;"FRANCES";"Bâton porte paix."
146;"FRANCES";"Battre le chien devant le lion."
147;"FRANCES";"Beaucoup de mémoire et peu de jugement."
148;"FRANCES";"Beauté et folie sont souvent en compagnie."
149;"FRANCES";"Belle, bonne, riche, et sage, est une femme en quatre étages."
150;"FRANCES";"Belle chose est tôt ravie."
151;"FRANCES";"Belle fille et méchante robe trouvent toujours qui les accroche."
152;"FRANCES";"Belle hôtesse c’est un mal pour la bourse."
153;"FRANCES";"Belle promesse fol lie."
154;"FRANCES";"Besoin fait vieille trotter."
155;"FRANCES";"Bien embarrassé celui qui tient la queue de la poële."
156;"FRANCES";"Bien dire fait rire; bien faire fait taire."
157;"FRANCES";"Bien est larron qui larron dérobe."
